time,gfx,gFy,gFz,wx,wy,wz,I,mode
1.42,1.6452789306640625,4.6686248779296875,14.3701171875,-0.5364837646484375,-0.01214599609375,0.041351318359375,43.22035217285156,texting
1.44,0.7959136962890625,4.305755615234375,11.077590942382812,-0.5364837646484375,-0.01214599609375,0.041351318359375,54.22303771972656,texting
1.46,-1.5461273193359375,4.90185546875,9.656234741210938,-0.5364837646484375,-0.01214599609375,0.041351318359375,54.22303771972656,texting
1.48,-1.9792633056640625,5.086212158203125,7.014739990234375,-0.5364837646484375,-0.01214599609375,0.041351318359375,54.22303771972656,texting
1.5,-2.3143463134765625,5.2020721435546875,5.918212890625,-0.453399658203125,-0.34637451171875,-0.1739959716796875,49.415191650390625,texting
1.52,-2.370086669921875,5.4727935791015625,5.4892425537109375,-0.453399658203125,-0.34637451171875,-0.1739959716796875,49.415191650390625,texting
1.54,-1.6461639404296875,5.2468414306640625,6.037628173828125,-0.453399658203125,-0.34637451171875,-0.1739959716796875,49.415191650390625,texting
1.56,-0.7085723876953125,4.9979095458984375,6.402984619140625,-0.453399658203125,-0.34637451171875,-0.1739959716796875,49.415191650390625,texting
1.58,0.109954833984375,4.7376708984375,7.3151092529296875,-0.453399658203125,-0.34637451171875,-0.1739959716796875,54.498748779296875,texting
1.6,0.455291748046875,4.4375152587890625,7.482574462890625,-0.453399658203125,-0.34637451171875,-0.1739959716796875,54.498748779296875,texting
1.62,0.552642822265625,4.36602783203125,7.394195556640625,-0.453399658203125,-0.34637451171875,-0.1739959716796875,54.498748779296875,texting
1.6400000000000001,1.0653533935546875,4.6063079833984375,7.406524658203125,-0.453399658203125,-0.34637451171875,-0.1739959716796875,54.498748779296875,texting
1.6600000000000001,1.73760986328125,4.6380462646484375,7.978668212890625,0.2737274169921875,0.077789306640625,0.4282989501953125,54.498748779296875,texting
1.68,1.58709716796875,4.4481353759765625,8.138870239257812,0.2737274169921875,0.077789306640625,0.4282989501953125,63.35276794433594,texting
1.7,3.0489501953125,5.174163818359375,7.5098724365234375,0.2737274169921875,0.077789306640625,0.4282989501953125,63.35276794433594,texting
1.72,3.0489501953125,5.174163818359375,7.5098724365234375,0.2737274169921875,0.077789306640625,0.4282989501953125,63.35276794433594,texting
1.74,3.345977783203125,5.5106353759765625,7.60797119140625,0.2737274169921875,0.077789306640625,0.4282989501953125,63.35276794433594,texting
1.76,3.0368499755859375,5.352325439453125,8.964141845703125,0.2737274169921875,0.077789306640625,0.4282989501953125,63.35276794433594,texting
1.78,3.119598388671875,5.634735107421875,9.9248046875,0.2737274169921875,0.077789306640625,0.4282989501953125,75.16595458984375,texting
1.8,1.62286376953125,6.3323516845703125,10.073532104492188,0.2737274169921875,0.077789306640625,0.4282989501953125,75.16595458984375,texting
1.82,0.4929962158203125,6.5381011962890625,11.191818237304688,0.2737274169921875,0.077789306640625,0.4282989501953125,75.16595458984375,texting
1.84,0.0140380859375,5.9422607421875,13.107925415039062,0.2737274169921875,0.077789306640625,0.4282989501953125,75.16595458984375,texting
